market,product_name,count
APAC,"Acco 3-Hole Punch, Clear",6
APAC,"Acco 3-Hole Punch, Durable",8
APAC,"Acco 3-Hole Punch, Economy",7
APAC,"Acco 3-Hole Punch, Recycled",7
APAC,"Acco Binder Covers, Clear",11
APAC,"Acco Binder Covers, Durable",8
APAC,"Acco Binder Covers, Economy",11
APAC,"Acco Binder Covers, Recycled",8
APAC,"Acco Binder, Clear",11
APAC,"Acco Binder, Durable",6
APAC,"Acco Binder, Economy",9
APAC,"Acco Binder, Recycled",8
APAC,"Acco Binding Machine, Clear",11
APAC,"Acco Binding Machine, Durable",4
APAC,"Acco Binding Machine, Economy",8
APAC,"Acco Binding Machine, Recycled",8
APAC,"Acco Hole Reinforcements, Clear",3
APAC,"Acco Hole Reinforcements, Durable",4
APAC,"Acco Hole Reinforcements, Economy",6
APAC,"Acco Hole Reinforcements, Recycled",9
APAC,"Acco Index Tab, Clear",12
APAC,"Acco Index Tab, Durable",7
APAC,"Acco Index Tab, Economy",4
APAC,"Accos Clamps, 12 Pack",8
APAC,"Accos Clamps, Assorted Sizes",4
APAC,"Accos Clamps, Bulk Pack",7
APAC,"Accos Clamps, Metal",5
APAC,"Accos Paper Clips, Assorted Sizes",7
APAC,"Accos Paper Clips, Bulk Pack",5
APAC,"Accos Paper Clips, Metal",5
APAC,"Accos Push Pins, 12 Pack",2
APAC,"Accos Push Pins, Assorted Sizes",8
APAC,"Accos Push Pins, Bulk Pack",6
APAC,"Accos Push Pins, Metal",3
APAC,"Accos Rubber Bands, 12 Pack",4
APAC,"Accos Rubber Bands, Assorted Sizes",2
APAC,"Accos Rubber Bands, Bulk Pack",3
APAC,"Accos Rubber Bands, Metal",10
APAC,"Accos Staples, 12 Pack",4
APAC,"Accos Staples, Assorted Sizes",7
APAC,"Accos Staples, Bulk Pack",4
APAC,"Accos Staples, Metal",11
APAC,"Accos Thumb Tacks, 12 Pack",3
APAC,"Accos Thumb Tacks, Assorted Sizes",9
APAC,"Accos Thumb Tacks, Bulk Pack",4
APAC,"Accos Thumb Tacks, Metal",4
APAC,"Acme Box Cutter, Easy Grip",8
APAC,"Acme Box Cutter, High Speed",7
APAC,"Acme Box Cutter, Serrated",6
APAC,"Acme Box Cutter, Steel",3
APAC,"Acme Letter Opener, Easy Grip",6
APAC,"Acme Letter Opener, High Speed",1
APAC,"Acme Letter Opener, Serrated",9
APAC,"Acme Letter Opener, Steel",7
APAC,"Acme Ruler, Easy Grip",8
APAC,"Acme Ruler, High Speed",5
APAC,"Acme Ruler, Serrated",4
APAC,"Acme Ruler, Steel",4
APAC,"Acme Scissors, Easy Grip",6
APAC,"Acme Scissors, High Speed",5
APAC,"Acme Scissors, Serrated",8
APAC,"Acme Scissors, Steel",6
APAC,"Acme Shears, Easy Grip",6
APAC,"Acme Shears, High Speed",6
APAC,"Acme Shears, Serrated",9
APAC,"Acme Shears, Steel",6
